v_in,V_out,dV_out,I_out,dI_out
1.6,5.764516129032258,0.00912395846692306,0.00549073438572409,0.0025680558591447784
1.6285714285714286,5.67741935483871,0.024139725075961092,0.0038892701898878973,0.0006470892529732761
1.6571428571428573,5.619354838709677,0.032896900087695205,0.007778540379775795,0.0027643665004791975
1.6857142857142857,5.461290322580645,0.00912395846692306,0.009608785175017159,0.0038825355178396573
1.7142857142857144,5.1,0.015803159630859254,0.009837565774422328,0.0008560186197149257
1.7428571428571429,2.6161290322580646,0.00912395846692306,0.01075268817204301,0.0006470892529732764
1.7714285714285714,0.7096774193548387,0.02991489837256676,0.011439029970258521,0.0003235446264866382
1.8,0.16129032258064516,0.019885206461190245,0.010295126973232671,0.0005603957315907525
1.8285714285714285,0.11290322580645162,0.01988520646119024,0.010523907572637839,0.0003235446264866382
1.8571428571428572,0.1032258064516129,0.027749436345298792,0.01098146877144818,0.0009706338794599147
1.8857142857142857,0.10967741935483871,0.04827945015192183,0.009380004575611988,0.0008560186197149257
1.9142857142857144,0.09032258064516129,0.018247916933846392,0.01098146877144818,0.001120791463181505
1.9428571428571428,0.1032258064516129,0.009123958466923198,0.011667810569663692,0.0019412677589198293
1.9714285714285715,0.061290322580645165,0.004561979233461594,0.009380004575611988,0.0022648123854064665
2.0,0.054838709677419356,0.03897756765675668,0.01098146877144818,0.0
