v_in,v_outs
0.0,0.01
0.17857142857142858,0.0
0.35714285714285715,0.0
0.5357142857142857,0.0
0.7142857142857143,0.01
0.8928571428571429,0.01
1.0714285714285714,0.0
1.25,0.01
1.4285714285714286,0.02
1.6071428571428572,0.08
1.7857142857142858,0.08
1.9642857142857144,0.2
2.142857142857143,0.37
2.3214285714285716,0.5
2.5,0.68
