v_in,v_outs
0.0,0.0
0.2092857142857143,0.0
0.4185714285714286,0.0
0.6278571428571429,0.03
0.8371428571428572,0.01
1.0464285714285715,0.0
1.2557142857142858,0.0
1.465,0.01
1.6742857142857144,0.02
1.8835714285714287,0.13
2.092857142857143,0.3
2.302142857142857,0.5
2.5114285714285716,0.66
2.720714285714286,0.86
2.93,1.04
